id,dataset_path,device,output_to,output_model_weights_to,verbose,dt_splits,dt_samples_limit,dt_full_test_set,dt_templates,dt_apply_template,dt_ess_sm_path,dt_extra_similar_sents,dt_ess_sm_k,dt_ess_sm_batch_size,dt_sents_vector_type,bs_supp_model,bs_sents_vector_type,comb_id,avg_iou_accuracy,exp_id
0,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.1,True,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,FRCNN,NoMean,false_true_1_frcnn_nomean,0.4994,0
1,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.1,True,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,FRCNN,Mean,false_true_1_frcnn_mean,0.5025,1
2,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.1,True,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,Yolo,NoMean,false_true_1_yolo_nomean,0.5488,2
3,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.1,True,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,Yolo,Mean,false_true_1_yolo_mean,0.5521,3
4,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.1,True,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,SSD,NoMean,false_true_1_ssd_nomean,0.4658,4
5,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.1,True,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,SSD,Mean,false_true_1_ssd_mean,0.4676,5
6,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.1,True,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",False,matrices,False,1,512,Mean,FRCNN,NoMean,false_false_1_frcnn_nomean,0.4973,6
7,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.1,True,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",False,matrices,False,1,512,Mean,FRCNN,Mean,false_false_1_frcnn_mean,0.5,7
8,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.1,True,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",False,matrices,False,1,512,Mean,Yolo,NoMean,false_false_1_yolo_nomean,0.5446,8
9,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.1,True,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",False,matrices,False,1,512,Mean,Yolo,Mean,false_false_1_yolo_mean,0.5474,9
10,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.1,True,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",False,matrices,False,1,512,Mean,SSD,NoMean,false_false_1_ssd_nomean,0.4653,10
11,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.1,True,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",False,matrices,False,1,512,Mean,SSD,Mean,false_false_1_ssd_mean,0.4686,11
