id,dataset_path,device,output_to,output_model_weights_to,verbose,dt_splits,dt_samples_limit,dt_templates,dt_apply_template,dt_ess_sm_path,dt_extra_similar_sents,dt_ess_sm_k,dt_ess_sm_batch_size,dt_sents_vector_type,nn_store_model_weights,nn_batch_size,nn_epochs,nn_grad_clipping,nn_scheduler,nn_scheduler_power,nn_dropout_prob,nn_optimizer,nn_opt_momentum,nn_bbox_hidden_dim,nn_opt_learning_rate,nn_wd,nn_film_layers,nn_fg_bg_percentile,nn_giou_lambda,nn_l1_lambda,nn_bce_lambda,comb_id,nn_use_scheduler,test_losses,avg_iou_accuracy,exp_id,nn_reload_weights_from,dt_full_test_set
0,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.2,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,True,32,5,False,True,0.7,0.2,AdamW,0.9,512,1e-05,1e-06,2,80,1,0.0,0,false_true_1_2_true_0.7_false_adamw_0.2_1e-05_512_1e-06_1_0_0,True,[0.8668],0.2085,0,,True
1,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.2,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,True,32,5,False,True,0.7,0.2,AdamW,0.9,512,1e-05,1e-06,2,80,1,0.0,1,false_true_1_2_true_0.7_false_adamw_0.2_1e-05_512_1e-06_1_0_1,True,[1.2178],0.2223,1,,True
2,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.2,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,True,32,5,False,True,0.7,0.2,AdamW,0.9,512,1e-05,1e-06,2,80,1,0.001,0,false_true_1_2_true_0.7_false_adamw_0.2_1e-05_512_1e-06_1_0.001_0,True,[1.2685],0.1995,2,,True
3,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.2,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,True,32,5,False,True,0.7,0.2,AdamW,0.9,512,1e-05,1e-06,2,80,1,0.001,1,false_true_1_2_true_0.7_false_adamw_0.2_1e-05_512_1e-06_1_0.001_1,True,[1.7202],0.1866,3,,True
4,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.2,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,True,32,5,False,True,0.7,0.2,AdamW,0.9,512,1e-05,1e-05,2,80,1,0.0,0,false_true_1_2_true_0.7_false_adamw_0.2_1e-05_512_1e-05_1_0_0,True,[0.8615],0.2162,4,,True
5,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.2,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,True,32,5,False,True,0.7,0.2,AdamW,0.9,512,1e-05,1e-05,2,80,1,0.0,1,false_true_1_2_true_0.7_false_adamw_0.2_1e-05_512_1e-05_1_0_1,True,[1.2657],0.2169,5,,True
6,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.2,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,True,32,5,False,True,0.7,0.2,AdamW,0.9,512,1e-05,1e-05,2,80,1,0.001,0,false_true_1_2_true_0.7_false_adamw_0.2_1e-05_512_1e-05_1_0.001_0,True,[1.2956],0.2153,6,,True
7,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.2,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,True,32,5,False,True,0.7,0.2,AdamW,0.9,512,1e-05,1e-05,2,80,1,0.001,1,false_true_1_2_true_0.7_false_adamw_0.2_1e-05_512_1e-05_1_0.001_1,True,[1.7091],0.1737,7,,True
8,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.2,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,True,32,5,False,True,0.7,0.2,AdamW,0.9,1024,1e-05,1e-06,2,80,1,0.0,0,false_true_1_2_true_0.7_false_adamw_0.2_1e-05_1024_1e-06_1_0_0,True,[0.8506],0.2247,8,,True
9,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.2,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,True,32,5,False,True,0.7,0.2,AdamW,0.9,1024,1e-05,1e-06,2,80,1,0.0,1,false_true_1_2_true_0.7_false_adamw_0.2_1e-05_1024_1e-06_1_0_1,True,[1.3003],0.2124,9,,True
