id,dataset_path,device,output_to,output_model_weights_to,verbose,dt_splits,dt_samples_limit,dt_templates,dt_apply_template,dt_ess_sm_path,dt_extra_similar_sents,dt_ess_sm_k,dt_ess_sm_batch_size,dt_sents_vector_type,nn_store_model_weights,nn_batch_size,nn_epochs,nn_grad_clipping,nn_use_scheduler,nn_scheduler_power,nn_dropout_prob,nn_optimizer,nn_opt_momentum,nn_bbox_hidden_dim,nn_opt_learning_rate,nn_wd,nn_film_layers,nn_fg_bg_percentile,nn_giou_lambda,nn_l1_lambda,nn_bce_lambda,comb_id,nn_scheduler,test_losses,train_losses,avg_iou_accuracy,exp_id,nn_reload_weights_from,dt_full_test_set
1,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.8,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,True,32,5,False,True,0.7,0.3,AdamW,0.9,256,1e-05,1e-06,3,80,0,0.0,1,false_true_1_3_true_0.7_false_adamw_0.3_1e-05_256_1e-06_0_0_1,True,"[0.3558617830276489, 0.41660165786743164]","[0.4468538490208713, 0.4168198677626523, 0.40620124340057373, 0.40013162114403467, 0.3966964835470373]",0.1155,1,,True
2,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.8,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,True,32,5,False,True,0.7,0.3,AdamW,0.9,256,1e-05,1e-06,3,80,0,0.0,2,false_true_1_3_true_0.7_false_adamw_0.3_1e-05_256_1e-06_0_0_2,True,"[0.6960623264312744, 0.8267372250556946]","[0.8933777700770985, 0.8243733969601718, 0.797656698660417, 0.782261154868386, 0.7796837741678412]",0.1885,2,,True
3,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.8,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,True,32,5,False,True,0.7,0.3,AdamW,0.9,256,1e-05,1e-06,3,80,0,0.0,4,false_true_1_3_true_0.7_false_adamw_0.3_1e-05_256_1e-06_0_0_4,True,"[1.4725641012191772, 1.6656062602996826]","[1.7965416799892078, 1.681351195682179, 1.6483272855932063, 1.6239191727204756, 1.5996520519256592]",0.1225,3,,True
4,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.8,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,True,32,5,False,True,0.7,0.3,AdamW,0.9,256,1e-05,1e-06,3,80,0,0.001,0,false_true_1_3_true_0.7_false_adamw_0.3_1e-05_256_1e-06_0_0.001_0,True,"[0.4040199816226959, 0.436503529548645]","[0.5284281291744926, 0.437875360250473, 0.42408373139121314, 0.4242902289737355, 0.4246987131508914]",0.2172,4,,True
5,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.8,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,True,32,5,False,True,0.7,0.3,AdamW,0.9,256,1e-05,1e-06,3,80,0,0.001,1,false_true_1_3_true_0.7_false_adamw_0.3_1e-05_256_1e-06_0_0.001_1,True,"[0.7275950908660889, 0.8092266321182251]","[1.0040568655187434, 0.8874068422750994, 0.8467462442137978, 0.826742789962075, 0.8222123601219871]",0.2307,5,,True
6,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.8,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,True,32,5,False,True,0.7,0.3,AdamW,0.9,256,1e-05,1e-06,3,80,0,0.001,2,false_true_1_3_true_0.7_false_adamw_0.3_1e-05_256_1e-06_0_0.001_2,True,"[1.100669503211975, 1.2326462268829346]","[1.5180304809050127, 1.339192422953519, 1.2673250761899082, 1.243426583030007, 1.227957086129622]",0.2311,6,,True
7,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.8,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,True,32,5,False,True,0.7,0.3,AdamW,0.9,256,1e-05,1e-06,3,80,0,0.001,4,false_true_1_3_true_0.7_false_adamw_0.3_1e-05_256_1e-06_0_0.001_4,True,"[1.8022230863571167, 2.0298919677734375]","[2.3186344883658667, 2.1164189035242256, 2.0677625374360518, 2.0399398045106367, 2.0110726789994673]",0.2076,7,,True
8,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.8,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,True,32,5,False,True,0.7,0.3,AdamW,0.9,256,1e-05,1e-06,3,80,0,0.005,0,false_true_1_3_true_0.7_false_adamw_0.3_1e-05_256_1e-06_0_0.005_0,True,"[1.8977144956588745, 2.0644257068634033]","[2.336124810305509, 2.1153223622928965, 2.0748526833274146, 2.1141081398183648, 2.101827784018083]",0.2187,8,,True
9,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.8,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,True,32,5,False,True,0.7,0.3,AdamW,0.9,256,1e-05,1e-06,3,80,0,0.005,1,false_true_1_3_true_0.7_false_adamw_0.3_1e-05_256_1e-06_0_0.005_1,True,"[2.2291927337646484, 2.414384126663208]","[3.325253790075129, 2.8325004144148394, 2.662723021073775, 2.544493956999345, 2.548299464312467]",0.2277,9,,True
10,dataset/refcocog,cuda,output,models/mynet.pth,False,"['test', 'train', 'val']",0.8,"['a photo of {}', '{} in the picture', '{} in the foreground/background', 'an image showing {}']",True,matrices,False,1,512,Mean,True,32,5,False,True,0.7,0.3,AdamW,0.9,256,1e-05,1e-06,3,80,0,0.005,2,false_true_1_3_true_0.7_false_adamw_0.3_1e-05_256_1e-06_0_0.005_2,True,"[2.57737398147583, 2.854041576385498]","[3.75712158463218, 3.23924428766424, 3.0529417341405694, 2.9543711705641313, 2.925052534450184]",0.2255,10,,True
